,0
0,0.5714285714285714
1,0.7142857142857143
2,0.7142857142857143
3,0.5714285714285714
4,0.7142857142857143
5,0.5714285714285714
6,0.5714285714285714
7,0.5714285714285714
8,0.8571428571428571
9,0.5714285714285714
10,0.7142857142857143
11,0.5714285714285714
12,0.5
13,0.3333333333333333
14,0.8333333333333334
15,0.5
16,0.8333333333333334
17,0.6666666666666666
18,0.3333333333333333
19,0.8333333333333334
20,0.8333333333333334
21,0.6666666666666666
22,1.0
23,1.0
24,0.6666666666666666
25,0.8333333333333334
26,0.5
27,0.5
28,0.8333333333333334
29,1.0
30,0.8333333333333334
31,1.0
32,0.8333333333333334
33,0.8333333333333334
34,0.8333333333333334
35,0.8333333333333334
36,0.8333333333333334
37,1.0
38,0.6666666666666666
39,0.5
40,0.3333333333333333
41,0.5
42,0.6666666666666666
43,0.3333333333333333
44,0.3333333333333333
45,0.5
46,0.5
47,0.3333333333333333
48,1.0
49,0.6666666666666666
50,0.3333333333333333
51,0.3333333333333333
52,0.5
53,0.3333333333333333
54,0.5
55,0.5
56,1.0
57,1.0
58,0.6
59,0.8
60,0.8
61,0.8
62,0.8
63,1.0
64,1.0
65,0.6
66,0.2
67,1.0
68,0.8
69,0.8
70,0.8
71,1.0
72,0.8
73,1.0
74,1.0
75,0.8
76,0.8
77,0.8
78,0.4
79,0.6
80,0.8
81,0.8
82,0.6
83,1.0
84,0.8
85,0.6
86,1.0
87,0.8
88,0.8
89,0.6
90,0.8
91,0.8
92,0.8
93,0.6
94,1.0
95,1.0
96,0.8
97,0.8
98,1.0
99,0.8
